Date, Close/Last, Volume, Open, High, Low
2019-11-15, $265.76,25093670, $263.68, $265.78, $263.01
2019-11-14, $262.64,22395560, $263.75, $264.88, $262.1
2019-11-13, $264.47,25817590, $261.13, $264.78, $261.07
2019-11-12, $261.96,21847230, $261.55, $262.79, $260.92
2019-11-11, $262.2,20507460, $258.3, $262.47, $258.28
2019-11-08, $260.14,17520500, $258.69, $260.44, $256.85
2019-11-07, $259.43,23735080, $258.74, $260.35, $258.11
2019-11-06, $257.24,18966120, $256.77, $257.49, $255.365
2019-11-05, $257.13,19974430, $257.05, $258.19, $256.32
2019-11-04, $257.5,25817950, $257.33, $257.845, $255.38
2019-11-01, $255.82,37781330, $249.54, $255.93, $249.16
2019-10-31, $248.76,34790520, $247.24, $249.17, $237.26
2019-10-30, $243.26,31130520, $244.76, $245.3, $241.21
2019-10-29, $243.29,35709870, $248.97, $249.75, $242.57
2019-10-28, $249.05,24143240, $247.42, $249.25, $246.72
2019-10-25, $246.58,18369300, $243.16, $246.73, $242.88
2019-10-24, $243.58,17916260, $244.51, $244.8, $241.805
2019-10-23, $243.18,19932550, $242.1, $243.24, $241.22
2019-10-22, $239.96,22684000, $241.16, $242.2, $239.6218
2019-10-21, $240.51,22367480, $237.52, $240.99, $237.32
2019-10-18, $236.41,24377170, $234.59, $237.58, $234.29
2019-10-17, $235.28,17272900, $235.09, $236.15, $233.52
2019-10-16, $234.37,19286690, $233.37, $235.24, $233.2
2019-10-15, $235.32,23040480, $236.39, $237.65, $234.88
2019-10-14, $235.87,24413480, $234.9, $238.1342, $234.6701
2019-10-11, $236.21,41990210, $232.95, $237.64, $232.3075
2019-10-10, $230.09,28962980, $227.93, $230.44, $227.3
2019-10-09, $227.03,19029420, $227.03, $227.79, $225.64
2019-10-08, $224.4,29282700, $225.82, $228.06, $224.33
2019-10-07, $227.06,30889270, $226.27, $229.93, $225.84
